index_P,lesk_list
166,"'uranium.n.01', 'visit.v.01', 'harmony.n.03', 'talk.n.03', 'france.n.01', 'uranium.n.01', 'expect.v.05', 'harmonious.s.04', 'talk.n.03', 'usual.a.01', 'french.v.01', 'prime.v.02', 'minister.v.02', 'first_gear.n.01', 'official.s.05', 'visit.v.07', 'workweek.n.01', 'frequently.r.01', 'rancorous.s.01', 'quarrel.v.01', 'two.n.01', 'state.n.04', 'begin.v.10', 'slice.n.04','libyan.n.01', 'fail.v.07', 'thing.n.12', 'past.s.02', 'trade.v.03', 'war.n.04', 'happen.v.04', 'reach.v.07', 'sanely.r.01', 'well.r.01', 'cooperation.n.02', 'terrorism.n.01', 'one.s.06', 'uranium.n.01', 'official.s.05', 'tell.v.03','spirit.n.02', 'like.n.02', 'sanely.r.01', 'harmonious.s.04', 'visit.v.07', 'view.n.02', 'harmonious.s.04', 'usual.a.01',,,,'plane.v.03', 'pass_over.v.04', 'territory.n.03', 'wedge.v.02', 'take.v.39', 'devious.s.03', 'route.v.03','angered.s.01', 'washington.n.05','uranium.n.01', 'official.n.02', 'ask.v.07', 'name.v.02', 'suppose.v.01', 'year.n.03', 'ago.s.01', 'washington.n.05', 'felt.n.01', 'french.v.01', 'take.v.39', 'potent.a.03', 'enough.n.01', 'natural_process.n.01', 'terrorism.n.01',,,'recently.r.01', 'quarrel.v.01', 'uranium.n.01', 'access.v.01', 'texture.n.05', 'marketplace.n.02', 'spain.n.01', 'portugal.n.01', 'join.v.01', 'european.n.01', 'residential_district.n.01', 'threaten.v.03', 'become.v.02', 'trade.v.03', 'war.n.04',,'texture.n.05', 'united.a.01', 'state.n.06', 'poised.s.01', 'enforce.v.02', 'swingeing.s.01', 'tariff.v.01', 'european.n.01', 'residential_district.n.01', 'food.n.02', 'significance.n.02', 'major.n.04', 'trade.v.03', 'war.n.04', 'debar.v.02', 'last.v.01', 'moment.n.01','last.v.01', 'workweek.n.01', 'wedge.v.02', 'president.n.05', 'lake_chad.n.01', 'support.v.09', 'trained.a.01', 'arm.v.01', 'paris.n.04', 'washington.n.05', 'score.v.06', 'major.n.04', 'success.n.03', 'tug.v.02', 'libyan.n.01', 'troop.v.02', 'last.v.01', 'root.n.03', 'northern.n.01', 'lake_chad.n.01','french.v.01', 'official.s.05', 'lend.v.01', 'besides.r.02', 'park.n.02', 'sake.n.01', 'receive.v.02', 'japan.v.01', 'switch_off.v.01', 'trade.v.03', 'excess.n.01', 'stay.v.01', 'world.n.06', 'unfold.v.04', 'marketplace.n.02','sexual_intercourse.n.01', 'improved.s.03', 'markedly.r.01', 'two.n.01', 'state.n.04', 'many.a.01', 'irritant.n.01', 'stay.v.04','top.v.07', 'tilt.n.04', 'residential_district.n.01', 'park.n.02', 'agricultural.a.01', 'policy.n.02', 'hood.n.02','washington.n.05', 'one.s.06', 'official.s.05', 'put_option.n.02', 'hood.n.02', 'solution.n.04', 'malefic.s.01', 'international.n.01', 'food.n.02', 'trade.v.03', 'subsidize.v.02', 'farmer.n.01', 'sell.v.05', 'huge.s.01', 'sum.n.02', 'excess.n.02', 'produce.v.02', 'world.n.06', 'price.n.05', 'thereby.r.01', 'eat.v.04', 'uranium.n.01', 'marketplace.n.02',,"
167,",,'export.v.02', 'metric_ton.n.01', 'pale_yellow.n.01', 'metric_ton.n.01', 'barley.n.01', 'january.n.01', 'home_plate.n.01', 'turn.v.07', 'cereal.n.03', 'authority.n.07', 'suppose.v.01', 'quote.v.01', 'align.v.01', 'customs.n.01', 'strike.v.14', 'trope.n.01','establish.v.08', 'previous.s.03', 'january.n.01', 'trope.n.01', 'issue.v.03', 'february.n.01', 'pale_yellow.n.01', 'export.v.02', 'increased.a.01', 'closely.r.03', 'metric_ton.n.01', 'barley.n.01', 'metric_ton.n.01','newfangled.s.01', 'trope.n.01', 'lend.v.01', 'accumulative.s.01', 'pale_yellow.n.01', 'export.v.02', 'period.n.07', 'july.n.01', 'february.n.01', 'metric_ton.n.01', 'barley.n.01', 'compare.v.04', 'metric_ton.n.01', 'respectively.r.01', 'year.n.03', 'ago.s.01','january.n.01', 'pale_yellow.n.01', 'export.v.02', 'incorporate.v.02', 'metric_ton.n.01', 'european.n.01', 'residential_district.n.01', 'finish.n.04', 'metric_ton.n.01', 'third_gear.n.01', 'state.n.04','soviet.n.01', 'union.n.11', 'outstanding.s.02', 'third_gear.n.01', 'state.n.04', 'finish.n.04', 'take.v.39', 'metric_ton.n.01', 'poland.n.01', 'credited.s.01', 'south.r.01', 'korea.n.01', 'metric_ton.n.01','italy.n.01', 'large.s.06', 'european_union.n.01', 'recipient.n.01', 'metric_ton.n.01', 'take_after.v.02', 'west.n.08', 'germany.n.01', 'france.n.01', 'metric_ton.n.01','barley.n.01', 'export.v.02', 'january.n.01', 'incorporate.v.02', 'metric_ton.n.01', 'european_union.n.01', 'third_gear.n.01', 'state.n.04','soviet.n.01', 'union.n.11', 'large.s.06', 'single.v.01', 'importer.n.01', 'metric_ton.n.01', 'take_after.v.02', 'saudi.n.01', 'arabian_peninsula.n.01', 'metric_ton.n.01',,"
168,",'western.n.02', 'soviet_union.n.01', 'winter.v.01', 'pale_yellow.n.01', 'sphere.n.01', 'sparkle.n.01', 'spotty.s.02', 'snow.n.02', 'potential.a.01', 'tonight.r.01', 'tomorrow.r.01', 'night.n.06', 'temperature.n.01', 'sink.v.01', 'minus.a.01', 'degree.n.07', 'farad.n.01', 'snow.n.02', 'top.n.09', 'stint.v.02', 'poland.n.01', 'percentage.n.01', 'winter.v.01', 'pale_yellow.n.01', 'sphere.n.01', 'report.v.06', 'one.s.06', 'two.n.01', 'inch.n.01', 'snow.n.02', 'good_morning.n.01','stay.v.04', 'percentage.n.01', 'winter.v.01', 'pale_yellow.n.01', 'crop.v.05', 'snow.n.02', 'top.n.09', 'take.v.27', 'potential.a.01', 'next.r.01', 'two.n.01', 'night.n.06',,'temperature.n.01', 'expect.v.05', 'spill.n.04', 'dear.s.02', 'degree.n.07', 'fluorine.n.01', 'next.r.01', 'two.n.01', 'night.n.06', 'sparkle.n.01', 'potential.a.01', 'weather.v.04', 'lend.v.01',,"
169,",'suppose.v.01', 'manufacturer.n.01', 'visit.v.01', 'buy.v.01', 'percentage.n.01', 'requirement.n.01', 'estimate.v.01', 'trey.n.02', 'metric_ton.n.01', 'trey.n.02', 'month.n.02', 'cargo.n.01', 'period.n.07',,'source.n.07', 'suppose.v.01', 'japanese.n.01', 'trade.v.03', 'theater.n.01', 'visit.v.01', 'shroud.v.01', 'sum.n.02', 'metric_ton.n.01', 'chinese.n.02', 'corn_whiskey.n.01', 'cargo.n.01', 'whitethorn.n.01', 'october.n.01','believe.v.04', 'so_far.r.03', 'sold.a.01', 'corn_whiskey.n.01', 'goal.n.01', 'user.n.01', 'anticipation.n.02', 'corn_whiskey.n.01', 'price.n.05', 'upgrade.n.04', 'world.n.06', 'marketplace.n.02','supply.v.01', 'argentina.n.01', 'south.r.01', 'africa.n.01', 'july.n.01', 'september.n.01', 'still.r.04', 'unsealed.a.01','source.n.07', 'prognosis.n.01', 'supply.v.01', 'argentina.n.01', 'whitethorn.n.01', 'spill.n.04', 'metric_ton.n.01', 'predict.v.01', 'calendar.v.01', 'south.r.01', 'africa.n.01', 'metric_ton.n.01', 'estimate.v.01', 'one.s.06', 'sparkle.n.01', 'close.s.06', 'export.v.02', 'handiness.n.02',,"
170,",'embassy.n.01', 'receive.v.10', 'letter.n.05', 'weekend.n.01', 'sketch.v.02', 'aid.n.03', 'need.v.03', 'sixth.n.01', 'population.n.05', 'district.n.01',,'letter.n.05', 'suppose.v.01', 'sri_lanka_rupee.n.01', 'need.v.03', 'six.s.01', 'month.n.02', 'period.n.07', 'least.a.01', 'whitethorn.n.01', 'september.n.01', 'rice.v.01', 'crop.v.05', 'harvest.v.02','metric_ton.n.01', 'pale_yellow.n.01', 'rice.v.01', 'flour.n.01', 'cereal.n.03', 'want.v.02', 'suppose.v.01', 'along.r.05', 'supply.v.01', 'sugar.n.01', 'lentil.n.02', 'dry.v.02', 'canned.s.02', 'pisces.n.02', 'milk.n.03',,'omaha.n.01', 'paddy.n.01', 'output.v.01', 'estimate.v.01', 'repair.v.01', 'lupus_erythematosus.n.01', 'primitively.r.01', 'expect.v.05','two.n.01', 'scenario.n.03', 'crop.v.05', 'senior_high_school.n.01', 'prognosis.n.01', 'around.r.07', 'bushel.n.02', 'conditional.a.02', 'adequate.a.01', 'rain.n.01', 'inside.r.02', 'next.r.01', 'trey.n.02', 'four-spot.n.01', 'workweek.n.01','stage.v.01', 'drought.n.02', 'stay.v.04', 'however.r.01', 'production.n.06', 'estimate.v.01', 'around.r.07', 'repair.v.01', 'letter.n.05', 'lend.v.01','sum.n.02', 'estimate.v.01', 'paddy.n.01', 'output.v.01', 'repair.v.01', 'metric_ton.n.01', 'rice.v.01','last.v.01', 'year.n.03', 'output.v.01', 'bushel.n.02','letter.n.05', 'suppose.v.01', 'villager.n.01', 'seriously.r.01', 'moved.a.01', 'district.n.01', 'deprived.s.01', 'means.n.01', 'subsistence.n.02', 'subsidiary_company.n.01', 'crop.v.05', 'besides.r.02', 'fail.v.07','suppose.v.01', 'government.n.03', 'current.n.02', 'budget.v.01', 'license.n.04', 'provide.v.06', 'sustained.s.01', 'adequate.a.01', 'respite.n.04', 'moved.a.01','tax_income.n.01', 'adversely.r.01', 'moved.a.01', 'press_down.v.01', 'commodity.n.01', 'price.n.05', 'deceleration.n.01', 'economy.n.04',,'cash.v.01', 'top.n.09', 'payment.n.01', 'sri_lanka_rupee.n.01', 'month.n.02', 'syndicate.n.01', 'well.v.01', 'treat.v.01', 'transport.v.02', 'distribution.n.04', 'hand_brake.n.01', 'food.n.02',,'letter.n.05', 'suppose.v.01', 'food.n.02', 'department.n.03', 'able.s.04', 'turn.v.08', 'pale_yellow.n.01', 'rice.v.01', 'fender.n.02', 'store.n.02', 'meet.v.11', 'immediate.s.04', 'cereal.n.03', 'requirement.n.01', 'provide.v.06', 'store.n.02', 'replace.v.01', 'subsequently.r.01',,'letter.n.05', 'suppose.v.01', 'sphere.n.01', 'feel.v.01', 'drought.n.02', 'august.s.01', 'rice.v.01', 'turn.v.07', 'district.n.01', 'effective.s.03', 'rain.n.01', 'june.n.01',"
171,",'corn_whiskey.n.01', 'export.v.02', 'guess.v.02', 'rate.v.01', 'repair.v.01', 'compare.v.04', 'visit.v.04', 'last.v.01', 'workweek.n.01', 'year.n.03', 'ago.s.01','soy.n.04', 'export.v.02', 'guess.v.02', 'rate.v.01', 'visit.v.04', 'last.v.01', 'workweek.n.01', 'reported.a.01', 'year.n.03', 'ago.s.01','pale_yellow.n.01', 'estimate.n.05', 'rate.v.01', 'bushel.n.02', 'compare.v.04', 'reported.a.01', 'last.v.01', 'workweek.n.01', 'year.n.03', 'ago.s.01',,"
172,"'yugoslavia.n.02', 'pale_yellow.n.01', 'release.v.09', 'department_of_agriculture.n.01', 'testify.v.02', 'yugoslav.n.01', 'winter.v.01', 'pale_yellow.n.01', 'sphere.n.01', 'travel.v.06', 'along.r.05', 'wrinkle.n.01', 'track.n.11', 'northwest.n.04', 'belgrade.n.01', 'dear.s.02', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'counselor.n.02', 'belgrade.n.01', 'suppose.v.01', 'sphere.n.01', 'reputation.n.03','reputation.n.03', 'go_steady.v.01', 'february.n.01', 'suppose.v.01', 'testify.v.02', 'stay.v.06', 'germination.n.02', 'sphere.n.01', 'due.n.02', 'late.a.05', 'sow.v.01', 'last.v.01', 'spill.n.04', 'dry.s.14', 'stipulate.v.01',,,,'reputation.n.03', 'suppose.v.01', 'pale_yellow.n.01', 'farmer.n.01', 'touch.v.05', 'sphere.n.01', 'tripper.n.04', 'optimistic.a.01', 'crop.v.05', 'way.r.01', 'come_forth.v.02', 'winter.v.01',,"
173,"'french.v.01', 'soft.s.10', 'pale_yellow.n.01', 'export.v.02', 'spill.n.04', 'export.v.02', 'french.v.01', 'soft.s.10', 'pale_yellow.n.01', 'period.n.07', 'july.n.01', 'master_of_architecture.n.01', 'hide.n.01', 'percentage.n.01', 'metric_ton.n.01', 'metric_ton.n.01', 'period.n.07', 'national.n.01', 'cereal.n.03', 'position.n.06', 'suppose.v.01', 'quote.v.01', 'customs.n.01', 'trope.n.01','sum.n.02', 'export.v.02', 'not.r.01', 'european_union.n.01', 'state.n.04', 'total.v.03', 'metric_ton.n.01', 'percentage.n.01', 'export.v.02', 'european_union.n.01', 'state.n.04', 'metric_ton.n.01', 'percentage.n.01', 'previous.s.03','main.n.02', 'european_union.n.01', 'finish.n.04', 'italy.n.01', 'two.n.01', 'metric_ton.n.01', 'belgium.n.01', 'metric_ton.n.01', 'one.s.06', 'netherlands.n.01', 'west.n.08', 'germany.n.01', 'spain.n.01', 'zero.n.04', 'united_kingdom.n.01', 'greece.n.02', 'ireland.n.01','flour.n.01', 'export.v.02', 'total.v.03', 'metric_ton.n.01', 'percentage.n.01', 'previous.s.03', 'metric_ton.n.01','export.v.02', 'gamboge.n.02', 'total.v.03', 'metric_ton.n.01', 'percentage.n.01', 'previous.s.03','export.v.02', 'not.r.01', 'european_union.n.01', 'state.n.04', 'metric_ton.n.01', 'european_union.n.01', 'state.n.04', 'metric_ton.n.01','main.n.02', 'european_union.n.01', 'netherlands.n.01', 'belgium.n.01', 'one.s.06', 'united_kingdom.n.01', 'west.n.08', 'germany.n.01', 'italy.n.01', 'greece.n.02', 'zero.n.04',,"
174,",,'export.v.03', 'inspection.n.01', 'thousand.n.01', 'repair.v.01', 'soy.n.04', 'wheat.n.02', 'corn_whiskey.n.01',"
175,"'department_of_agriculture.n.01', 'update.v.03', 'winter.v.01', 'pale_yellow.n.01', 'acreage.n.01', 'tomorrow.r.01', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'suppose.v.01', 'update.v.03', 'estimate.n.05', 'winter.v.01', 'pale_yellow.n.01', 'seeded.a.01', 'acreage.n.01', 'prospective.a.01', 'planting.n.02', 'reputation.n.03', 'schedule.v.02', 'turn.v.08', 'eastern_time.n.01', 'greenwich_mean_time.n.01', 'tomorrow.r.01', 'master_of_architecture.n.01','original.n.02', 'estimate.n.05', 'sow.v.01', 'winter.v.01', 'pale_yellow.n.01', 'published.a.01', 'january.n.01','suppose.v.01', 'newfangled.s.01', 'survey.v.06', 'potential.a.01', 'newfangled.s.01', 'integrated.s.04', 'countrywide.s.01', 'survey.v.06', 'program.v.02', 'use.v.01', 'probability.n.02', 'sampling.n.03', 'routine.n.03', 'trust.n.04', 'information.n.05', 'farmer.n.01', 'operating.a.01', 'choose.v.01', 'sphere.n.01', 'farmer.n.01', 'name.v.02', 'special.s.04', 'tilt.n.04',,,,'reason.v.01', 'given.s.01', 'delay.n.02', 'turn.v.08', 'monthly.r.01', 'reputation.n.03',,"
176,"'louisiana.n.01', 'weekly.n.01', 'crop.v.05', 'reputation.n.03', 'louisiana.n.01', 'weekly.n.01', 'department_of_agriculture.n.01', 'state.n.06', 'crop.v.05', 'reputation.n.03', 'suppose.v.01', 'sidereal_day.n.01', 'desirable.s.02', 'fieldwork.n.01','territory.n.03', 'moisture.n.01', 'supply.v.01', 'rate.v.02', 'percentage.n.01', 'adequate.a.01', 'percentage.n.01', 'excess.n.01','winter.v.01', 'pale_yellow.n.01', 'fairly.r.02', 'well.r.01', 'stipulate.v.01','eight-spot.n.01', 'percentage.n.01', 'headed.s.04', 'volt.n.01', 'percentage.n.01', 'year.n.03', 'ago.s.01', 'percentage.n.01', 'modal.s.01','corn_whiskey.n.01', 'eight-spot.n.01', 'percentage.n.01', 'plant.v.05', 'volt.n.01', 'percentage.n.01', 'year.n.03', 'ago.s.01', 'percentage.n.01', 'modal.s.01','two.n.01', 'percentage.n.01', 'come_forth.v.02', 'volt.n.01','spring.n.04', 'plowing.n.01', 'seventeen.s.01', 'percentage.n.01', 'complete.v.01', 'volt.n.01', 'percentage.n.01', 'year.n.03', 'ago.s.01', 'percentage.n.01',,"
177,"'texas.n.01', 'weekly.n.01', 'crop.v.05', 'reputation.n.03', 'texas.n.01', 'weekly.n.01', 'department_of_agriculture.n.01', 'state.n.06', 'crop.v.05', 'reputation.n.03', 'suppose.v.01', 'stormy.s.02', 'winter.v.01', 'weather.v.04', 'limited.s.06', 'fieldwork.n.01', 'stipulate.v.01', 'improved.s.03', 'subsequently.r.01', 'workweek.n.01',,'windy.s.03', 'weather.v.04', 'take_after.v.02', 'dry.s.14', 'sphere.n.01', 'limit.v.02', 'planting.n.02', 'delay.n.02','small.r.01', 'texture.n.05', 'take.v.27', 'well.r.01', 'progress.v.01', 'contempt.n.01', 'cool.s.05', 'temperature.n.01', 'slow.v.03', 'increase.n.03',,'many.a.01', 'sphere.n.01', 'boot.v.01', 'begin.v.10', 'read/write_head.n.01','pale_yellow.n.01', 'rate.v.02', 'percentage.n.01', 'fairly.r.02', 'percentage.n.01', 'well.r.01', 'percentage.n.01', 'excellent.s.01','corn_whiskey.n.01', 'sorghum.n.03', 'planting.n.02', 'progress.v.01', 'state.n.04', 'preparation.n.05', 'ahead.s.01', 'schedule.v.02', 'knit.n.02', 'contempt.n.01', 'white.s.04', 'weather.v.04','cotton.v.01', 'planting.n.02', 'progress.v.01', 'lower.v.01', 'valley.n.01',,"
178,"'oklahoma.n.01', 'weekly.n.01', 'crop.v.05', 'reputation.n.03', 'oklahoma.n.01', 'weekly.n.01', 'department_of_agriculture.n.01', 'crop.v.05', 'reputation.n.03', 'suppose.v.01', 'cold.s.12', 'weather.v.04', 'slow.v.03', 'crop.v.05', 'growth.n.01', 'induce.v.02', 'cattle.n.01', 'end.n.06','pale_yellow.n.01', 'increase.n.03', 'stop.v.01', 'cold.s.12', 'weather.v.04', 'rain.v.01', 'early.a.05', 'workweek.n.01', 'prevent.v.02', 'fertilizer.n.01', 'lotion.n.02', 'weed.n.02', 'spraying.n.03','sphere.n.01', 'west.n.08', 'shortstop.n.02', 'nitrogen.n.01', 'centrist.n.01', 'worm.n.02', 'natural_process.n.01', 'note.v.04', 'southwest.n.04', 'region.n.05','pale_yellow.n.01', 'stipulate.v.01', 'rate.v.02', 'percentage.n.01', 'fairly.r.02', 'percentage.n.01', 'well.r.01', 'one.s.06', 'percentage.n.01', 'excellent.s.01','rowing.n.01', 'crop.v.05', 'natural_process.n.01', 'slow.a.04', 'wet.a.01', 'stipulate.v.01','topsoil.n.01', 'moisture.n.01', 'rate.v.02', 'percentage.n.01', 'adequate.a.01', 'percentage.n.01', 'excess.n.01', 'subsoil.n.01', 'moisture.n.01', 'rate.v.02', 'percentage.n.01', 'adequate.a.01','two.n.01', 'sidereal_day.n.01', 'desirable.s.02', 'fieldwork.n.01',,"
179,",,,'establish.v.08', 'previous.s.03', 'probationary.s.01', 'trope.n.01', 'issue.v.03', 'february.n.01', 'pale_yellow.n.01', 'export.v.02', 'increased.a.01', 'metric_ton.n.01', 'barley.n.01', 'metric_ton.n.01','newfangled.s.01', 'trope.n.01', 'lend.v.01', 'accumulative.s.01', 'pale_yellow.n.01', 'export.v.02', 'period.n.07', 'july.n.01', 'master_of_architecture.n.01', 'metric_ton.n.01', 'barley.n.01', 'compare.v.04', 'metric_ton.n.01', 'respectively.r.01', 'last.v.01', 'season.n.03',,"
180,",'suppose.v.01', 'percentage.n.01', 'early.a.05', 'rice.v.01', 'field.n.10', 'fix.v.12', 'plant.v.05', 'seedling.n.01', 'already.r.01', 'transplant.v.03', 'percentage.n.01', 'rice.v.01', 'field.n.10', 'island.n.02','hectare.n.01', 'farmland.n.01', 'plant.v.05', 'cash.v.01', 'crop.v.05', 'include.v.03', 'sugar.n.01', 'cane.v.01', 'peanuts.n.01', 'soy.n.04', 'hour_angle.n.02','provincial.n.01', 'government.n.03', 'increased.a.01', 'investment.n.06', 'texture.n.05', 'take.v.39', 'effective.s.03', 'standard.n.01', 'battle.v.01', 'natural.s.04', 'catastrophe.n.02', 'year.n.03', 'means.n.01', 'suppose.v.01', 'give.v.43', 'detail.v.02',,"
